"area label","area long label","area","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months"
"area label","area long label","area","23560"
"area label","area long label","area","%"
"area label","area long label","area","raw"
"area label","area long label","area","2023/24"
"area label","area long label","area","fin_2023_24"
"Barking and Dagenham","Barking and Dagenham (London borough)","E09000002","19"
"Barnet","Barnet (London borough)","E09000003","17"
"Barnsley","Barnsley (Metropolitan borough)","E08000038","19"
"Bath and North East Somerset","Bath and North East Somerset (Unitary)","E06000022","16"
"Bedford Borough","Bedford Borough (Unitary)","E06000055","20"
"Bexley","Bexley (London borough)","E09000004","17"
"Birmingham","Birmingham (Metropolitan borough)","E08000025","15"
"Blackburn with Darwen","Blackburn with Darwen (Unitary)","E06000008","13"
"Blackpool","Blackpool (Unitary)","E06000009","15"
"Bolton","Bolton (Metropolitan borough)","E08000001","17"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole (Unitary)","E06000058","19"
"Bracknell Forest","Bracknell Forest (Unitary)","E06000036","18"
"Bradford","Bradford (Metropolitan borough)","E08000032","15"
"Brent","Brent (London borough)","E09000005","15"
"Brighton and Hove","Brighton and Hove (Unitary)","E06000043","20"
"Bristol","Bristol (Unitary)","E06000023","19"
"Bromley","Bromley (London borough)","E09000006","17"
"Buckinghamshire","Buckinghamshire (Unitary)","E06000060","19"
"Bury","Bury (Metropolitan borough)","E08000002","17"
"Calderdale","Calderdale (Metropolitan borough)","E08000033","17"
"Cambridgeshire","Cambridgeshire (County)","E10000003","no value"
"Camden","Camden (London borough)","E09000007","19"
"Central Bedfordshire","Central Bedfordshire (Unitary)","E06000056","17"
"Cheshire East","Cheshire East (Unitary)","E06000049","20"
"Cheshire West and Chester","Cheshire West and Chester (Unitary)","E06000050","22"
"City of London","City of London (London borough)","E09000001","11"
"Cornwall","Cornwall (Unitary)","E06000052","18"
"Coventry","Coventry (Metropolitan borough)","E08000026","15"
"Croydon","Croydon (London borough)","E09000008","20"
"Cumberland","Cumberland (Unitary)","E06000063","18"
"Darlington","Darlington (Unitary)","E06000005","12"
"Derby","Derby (Unitary)","E06000015","16"
"Derbyshire","Derbyshire (County)","E10000007","no value"
"Devon","Devon (County)","E10000008","no value"
"Doncaster","Doncaster (Metropolitan borough)","E08000017","17"
"Dorset","Dorset (Unitary)","E06000059","20"
"Dudley","Dudley (Metropolitan borough)","E08000027","17"
"Durham","Durham (Unitary)","E06000047","13"
"Ealing","Ealing (London borough)","E09000009","18"
"East Riding of Yorkshire","East Riding of Yorkshire (Unitary)","E06000011","17"
"East Sussex","East Sussex (County)","E10000011","no value"
"Enfield","Enfield (London borough)","E09000010","16"
"Essex","Essex (County)","E10000012","no value"
"Gateshead","Gateshead (Metropolitan borough)","E08000037","14"
"Gloucestershire","Gloucestershire (County)","E10000013","no value"
"Greenwich","Greenwich (London borough)","E09000011","17"
"Hackney","Hackney (London borough)","E09000012","17"
"Halton","Halton (Unitary)","E06000006","21"
"Hammersmith and Fulham","Hammersmith and Fulham (London borough)","E09000013","22"
"Hampshire","Hampshire (County)","E10000014","no value"
"Haringey","Haringey (London borough)","E09000014","17"
"Harrow","Harrow (London borough)","E09000015","16"
"Hartlepool","Hartlepool (Unitary)","E06000001","17"
"Havering","Havering (London borough)","E09000016","18"
"Herefordshire","Herefordshire (Unitary)","E06000019","17"
"Hertfordshire","Hertfordshire (County)","E10000015","no value"
"Hillingdon","Hillingdon (London borough)","E09000017","16"
"Hounslow","Hounslow (London borough)","E09000018","17"
"Isle of Wight","Isle of Wight (Unitary)","E06000046","18"
"Isles of Scilly","Isles of Scilly (Unitary)","E06000053","17"
"Islington","Islington (London borough)","E09000019","18"
"Kensington and Chelsea","Kensington and Chelsea (London borough)","E09000020","18"
"Kent","Kent (County)","E10000016","no value"
"Kingston upon Hull","Kingston upon Hull (Unitary)","E06000010","15"
"Kingston upon Thames","Kingston upon Thames (London borough)","E09000021","16"
"Kirklees","Kirklees (Metropolitan borough)","E08000034","17"
"Knowsley","Knowsley (Metropolitan borough)","E08000011","18"
"Lambeth","Lambeth (London borough)","E09000022","18"
"Lancashire","Lancashire (County)","E10000017","no value"
"Leeds","Leeds (Metropolitan borough)","E08000035","16"
"Leicester","Leicester (Unitary)","E06000016","13"
"Leicestershire","Leicestershire (County)","E10000018","no value"
"Lewisham","Lewisham (London borough)","E09000023","17"
"Lincolnshire","Lincolnshire (County)","E10000019","no value"
"Liverpool","Liverpool (Metropolitan borough)","E08000012","21"
"Luton","Luton (Unitary)","E06000032","17"
"Manchester","Manchester (Metropolitan borough)","E08000003","20"
"Medway","Medway (Unitary)","E06000035","14"
"Merton","Merton (London borough)","E09000024","19"
"Middlesbrough","Middlesbrough (Unitary)","E06000002","15"
"Milton Keynes","Milton Keynes (Unitary)","E06000042","18"
"Newcastle upon Tyne","Newcastle upon Tyne (Metropolitan borough)","E08000021","15"
"Newham","Newham (London borough)","E09000025","14"
"Norfolk","Norfolk (County)","E10000020","no value"
"North East Lincolnshire","North East Lincolnshire (Unitary)","E06000012","21"
"North Lincolnshire","North Lincolnshire (Unitary)","E06000013","15"
"North Northamptonshire","North Northamptonshire (Unitary)","E06000061","19"
"North Somerset","North Somerset (Unitary)","E06000024","19"
"North Tyneside","North Tyneside (Metropolitan borough)","E08000022","17"
"North Yorkshire","North Yorkshire (Unitary)","E06000065","17"
"Northumberland","Northumberland (Unitary)","E06000057","15"
"Nottingham","Nottingham (Unitary)","E06000018","14"
"Nottinghamshire","Nottinghamshire (County)","E10000024","no value"
"Oldham","Oldham (Metropolitan borough)","E08000004","17"
"Oxfordshire","Oxfordshire (County)","E10000025","no value"
"Peterborough","Peterborough (Unitary)","E06000031","14"
"Plymouth","Plymouth (Unitary)","E06000026","19"
"Portsmouth","Portsmouth (Unitary)","E06000044","20"
"Reading","Reading (Unitary)","E06000038","18"
"Redbridge","Redbridge (London borough)","E09000026","11"
"Redcar and Cleveland","Redcar and Cleveland (Unitary)","E06000003","16"
"Richmond upon Thames","Richmond upon Thames (London borough)","E09000027","21"
"Rochdale","Rochdale (Metropolitan borough)","E08000005","18"
"Rotherham","Rotherham (Metropolitan borough)","E08000018","16"
"Rutland","Rutland (Unitary)","E06000017","19"
"Salford","Salford (Metropolitan borough)","E08000006","17"
"Sandwell","Sandwell (Metropolitan borough)","E08000028","16"
"Sefton","Sefton (Metropolitan borough)","E08000014","20"
"Sheffield","Sheffield (Metropolitan borough)","E08000039","16"
"Shropshire","Shropshire (Unitary)","E06000051","19"
"Slough","Slough (Unitary)","E06000039","13"
"Solihull","Solihull (Metropolitan borough)","E08000029","18"
"Somerset","Somerset (Unitary)","E06000066","18"
"South Gloucestershire","South Gloucestershire (Unitary)","E06000025","20"
"South Tyneside","South Tyneside (Metropolitan borough)","E08000023","18"
"Southampton","Southampton (Unitary)","E06000045","18"
"Southend-on-Sea","Southend-on-Sea (Unitary)","E06000033","14"
"Southwark","Southwark (London borough)","E09000028","16"
"St. Helens","St. Helens (Metropolitan borough)","E08000013","21"
"Staffordshire","Staffordshire (County)","E10000028","no value"
"Stockport","Stockport (Metropolitan borough)","E08000007","18"
"Stockton-on-Tees","Stockton-on-Tees (Unitary)","E06000004","15"
"Stoke-on-Trent","Stoke-on-Trent (Unitary)","E06000021","14"
"Suffolk","Suffolk (County)","E10000029","no value"
"Sunderland","Sunderland (Metropolitan borough)","E08000024","14"
"Surrey","Surrey (County)","E10000030","no value"
"Sutton","Sutton (London borough)","E09000029","18"
"Swindon","Swindon (Unitary)","E06000030","15"
"Tameside","Tameside (Metropolitan borough)","E08000008","16"
"Telford and Wrekin","Telford and Wrekin (Unitary)","E06000020","21"
"Thurrock","Thurrock (Unitary)","E06000034","17"
"Torbay","Torbay (Unitary)","E06000027","21"
"Tower Hamlets","Tower Hamlets (London borough)","E09000030","13"
"Trafford","Trafford (Metropolitan borough)","E08000009","17"
"Wakefield","Wakefield (Metropolitan borough)","E08000036","15"
"Walsall","Walsall (Metropolitan borough)","E08000030","14"
"Waltham Forest","Waltham Forest (London borough)","E09000031","18"
"Wandsworth","Wandsworth (London borough)","E09000032","18"
"Warrington","Warrington (Unitary)","E06000007","17"
"Warwickshire","Warwickshire (County)","E10000031","no value"
"West Berkshire","West Berkshire (Unitary)","E06000037","14"
"West Northamptonshire","West Northamptonshire (Unitary)","E06000062","19"
"West Sussex","West Sussex (County)","E10000032","no value"
"Westminster","Westminster (London borough)","E09000033","16"
"Westmorland and Furness","Westmorland and Furness (Unitary)","E06000064","16"
"Wigan","Wigan (Metropolitan borough)","E08000010","17"
"Wiltshire","Wiltshire (Unitary)","E06000054","21"
"Windsor and Maidenhead","Windsor and Maidenhead (Unitary)","E06000040","16"
"Wirral","Wirral (Metropolitan borough)","E08000015","19"
"Wokingham","Wokingham (Unitary)","E06000041","18"
"Wolverhampton","Wolverhampton (Metropolitan borough)","E08000031","16"
"Worcestershire","Worcestershire (County)","E10000034","no value"
"York","York (Unitary)","E06000014","15"
"Mean for All English single tier and county councils","Mean for All English single tier and county councils","[summary][mean][area][AllSingleTierAndCountyLaInCountry_England]","17"
