"Title","CPA 08:EU:EX:CP:BOP:SA: 90. Creative, arts & entertainment services"
"CDID","P4AD"
"Source dataset ID","MQ10"
"PreUnit",""
"Unit",""
"Release date","28-03-2025"
"Next release","15 May 2025"
"Important notes",
"1997","20"
"1998","39"
"1999","36"
"2000","40"
"2001","46"
"2002","77"
"2003","39"
"2004","73"
"2005","73"
"2006","76"
"2007","98"
"2008","150"
"2009","97"
"2010","137"
"2011","74"
"2012","121"
"2013","95"
"2014","78"
"2015","89"
"2016","135"
"2017","125"
"2018","186"
"2019","222"
"2020","141"
"2021","982"
"2022","1058"
"2023","793"
"2024","925"
"1997 Q1","5"
"1997 Q2","6"
"1997 Q3","4"
"1997 Q4","5"
"1998 Q1","16"
"1998 Q2","10"
"1998 Q3","4"
"1998 Q4","9"
"1999 Q1","12"
"1999 Q2","12"
"1999 Q3","6"
"1999 Q4","6"
"2000 Q1","7"
"2000 Q2","12"
"2000 Q3","5"
"2000 Q4","16"
"2001 Q1","10"
"2001 Q2","7"
"2001 Q3","8"
"2001 Q4","21"
"2002 Q1","13"
"2002 Q2","36"
"2002 Q3","13"
"2002 Q4","15"
"2003 Q1","10"
"2003 Q2","9"
"2003 Q3","12"
"2003 Q4","8"
"2004 Q1","21"
"2004 Q2","33"
"2004 Q3","7"
"2004 Q4","12"
"2005 Q1","17"
"2005 Q2","13"
"2005 Q3","14"
"2005 Q4","29"
"2006 Q1","18"
"2006 Q2","22"
"2006 Q3","13"
"2006 Q4","23"
"2007 Q1","22"
"2007 Q2","26"
"2007 Q3","35"
"2007 Q4","15"
"2008 Q1","26"
"2008 Q2","14"
"2008 Q3","50"
"2008 Q4","60"
"2009 Q1","13"
"2009 Q2","21"
"2009 Q3","50"
"2009 Q4","13"
"2010 Q1","28"
"2010 Q2","51"
"2010 Q3","30"
"2010 Q4","28"
"2011 Q1","16"
"2011 Q2","16"
"2011 Q3","21"
"2011 Q4","21"
"2012 Q1","30"
"2012 Q2","17"
"2012 Q3","50"
"2012 Q4","24"
"2013 Q1","22"
"2013 Q2","25"
"2013 Q3","29"
"2013 Q4","19"
"2014 Q1","18"
"2014 Q2","14"
"2014 Q3","14"
"2014 Q4","32"
"2015 Q1","20"
"2015 Q2","24"
"2015 Q3","26"
"2015 Q4","19"
"2016 Q1","25"
"2016 Q2","26"
"2016 Q3","50"
"2016 Q4","34"
"2017 Q1","29"
"2017 Q2","27"
"2017 Q3","32"
"2017 Q4","37"
"2018 Q1","43"
"2018 Q2","56"
"2018 Q3","39"
"2018 Q4","48"
"2019 Q1","46"
"2019 Q2","81"
"2019 Q3","36"
"2019 Q4","59"
"2020 Q1","42"
"2020 Q2","8"
"2020 Q3","18"
"2020 Q4","73"
"2021 Q1","196"
"2021 Q2","360"
"2021 Q3","244"
"2021 Q4","182"
"2022 Q1","166"
"2022 Q2","315"
"2022 Q3","339"
"2022 Q4","238"
"2023 Q1","362"
"2023 Q2","145"
"2023 Q3","123"
"2023 Q4","163"
"2024 Q1","331"
"2024 Q2","227"
"2024 Q3","164"
"2024 Q4","203"
